,price,minimum_nights,longitude,latitude,price_per_minimum_night,neighbourhood,neighbourhood_group,room_type
0,149,1,-73.97237,40.64749,149.0,Kensington,Brooklyn,Private room
1,225,1,-73.98377,40.75362,225.0,Midtown,Manhattan,Entire home/apt
3,89,1,-73.95976,40.68514,89.0,Clinton Hill,Brooklyn,Entire home/apt
5,200,3,-73.975,40.74767,66.66666666666667,Murray Hill,Manhattan,Entire home/apt
7,79,2,-73.98493,40.76489,39.5,Hell's Kitchen,Manhattan,Private room
9,150,1,-73.99037,40.71344,150.0,Chinatown,Manhattan,Entire home/apt
10,135,5,-73.96545,40.80316,27.0,Upper West Side,Manhattan,Entire home/apt
11,85,2,-73.98867,40.76076,42.5,Hell's Kitchen,Manhattan,Private room
12,89,4,-73.98779,40.66829,22.25,South Slope,Brooklyn,Private room
13,85,2,-73.96113,40.79826,42.5,Upper West Side,Manhattan,Private room
15,140,2,-73.95352,40.70837,70.0,Williamsburg,Brooklyn,Entire home/apt
16,215,2,-73.97185,40.69169,107.5,Fort Greene,Brooklyn,Entire home/apt
17,140,1,-73.99501,40.74192,140.0,Chelsea,Manhattan,Private room
18,99,3,-73.94694,40.67592,33.0,Crown Heights,Brooklyn,Entire home/apt
21,130,2,-73.97706,40.68069,65.0,Park Slope,Brooklyn,Private room
22,80,1,-73.97798,40.67989,80.0,Park Slope,Brooklyn,Private room
23,110,2,-73.97865,40.68001,55.0,Park Slope,Brooklyn,Private room
24,120,2,-73.94028,40.68371,60.0,Bedford-Stuyvesant,Brooklyn,Entire home/apt
25,60,1,-73.97519,40.65599,60.0,Windsor Terrace,Brooklyn,Private room
27,150,10,-73.98533,40.76715,15.0,Hell's Kitchen,Manhattan,Entire home/apt
28,44,3,-73.92106,40.86482,14.666666666666666,Inwood,Manhattan,Private room
29,180,14,-73.98542,40.7292,12.857142857142858,East Village,Manhattan,Entire home/apt
30,50,3,-73.95104,40.82245,16.666666666666668,Harlem,Manhattan,Private room
31,52,2,-73.95466,40.81305,26.0,Harlem,Manhattan,Private room
32,55,4,-73.93762,40.72219,13.75,Greenpoint,Brooklyn,Private room
33,50,3,-73.95318,40.8213,16.666666666666668,Harlem,Manhattan,Private room
34,70,1,-73.95473,40.6831,70.0,Bedford-Stuyvesant,Brooklyn,Private room
35,89,4,-73.9878,40.66869,22.25,South Slope,Brooklyn,Private room
37,85,2,-73.92745,40.70186,42.5,Bushwick,Brooklyn,Entire home/apt
39,40,1,-73.98917,40.71401,40.0,Lower East Side,Manhattan,Shared room
40,68,2,-73.98199,40.7229,34.0,East Village,Manhattan,Private room
41,120,3,-73.97966,40.66278,40.0,South Slope,Brooklyn,Entire home/apt
42,120,7,-73.97584,40.69673,17.142857142857142,Fort Greene,Brooklyn,Private room
43,135,4,-73.97927,40.79009,33.75,Upper West Side,Manhattan,Private room
44,150,7,-73.94478,40.81175,21.428571428571427,Harlem,Manhattan,Entire home/apt
45,150,29,-73.96238,40.65944,5.172413793103448,Prospect-Lefferts Gardens,Brooklyn,Entire home/apt
46,130,3,-73.9474,40.74771,43.333333333333336,Long Island City,Queens,Private room
47,110,7,-73.95591,40.68111,15.714285714285714,Bedford-Stuyvesant,Brooklyn,Entire home/apt
49,80,3,-73.97376,40.69142,26.666666666666668,Fort Greene,Brooklyn,Private room
50,80,1,-73.93934,40.68043,80.0,Bedford-Stuyvesant,Brooklyn,Private room
51,151,2,-73.97008,40.78635,75.5,Upper West Side,Manhattan,Entire home/apt
52,228,3,-73.9356,40.7042,76.0,Williamsburg,Brooklyn,Entire home/apt
53,144,2,-73.95392,40.73506,72.0,Greenpoint,Brooklyn,Entire home/apt
54,200,7,-73.98074,40.73961,28.571428571428573,Kips Bay,Manhattan,Entire home/apt
55,150,30,-73.9593,40.70881,5.0,Williamsburg,Brooklyn,Entire home/apt
56,110,5,-73.99104,40.72004,22.0,Lower East Side,Manhattan,Private room
57,69,2,-73.99293,40.75531,34.5,Hell's Kitchen,Manhattan,Private room
58,49,4,-73.93788,40.72401,12.25,Greenpoint,Brooklyn,Private room
59,180,30,-73.99775,40.7221,6.0,SoHo,Manhattan,Entire home/apt
60,80,2,-73.96204,40.71185,40.0,Williamsburg,Brooklyn,Private room
62,250,2,-73.95269,40.77065,125.0,Upper East Side,Manhattan,Entire home/apt
63,200,30,-73.96428,40.67811,6.666666666666667,Prospect Heights,Brooklyn,Entire home/apt
64,55,7,-73.96788,40.69,7.857142857142857,Clinton Hill,Brooklyn,Private room
65,52,30,-73.99119,40.75979,1.7333333333333334,Hell's Kitchen,Manhattan,Private room
67,80,1,-73.97904,40.72649,80.0,East Village,Manhattan,Private room
68,275,1,-73.96792,40.70933,275.0,Williamsburg,Brooklyn,Entire home/apt
69,99,1,-73.98474,40.72298,99.0,East Village,Manhattan,Private room
70,225,4,-73.93922,40.80164,56.25,East Harlem,Manhattan,Entire home/apt
71,230,9,-73.98008,40.72162,25.555555555555557,East Village,Manhattan,Entire home/apt
72,51,7,-73.98865,40.76342,7.285714285714286,Hell's Kitchen,Manhattan,Private room
73,65,2,-73.94095,40.83139,32.5,Washington Heights,Manhattan,Private room
74,105,2,-73.96374,40.68346,52.5,Clinton Hill,Brooklyn,Private room
75,190,5,-73.98801,40.72828,38.0,East Village,Manhattan,Entire home/apt
76,200,1,-73.95058,40.76865,200.0,Upper East Side,Manhattan,Private room
77,70,30,-73.90334,40.75038,2.3333333333333335,Woodside,Queens,Private room
78,95,3,-73.97267,40.6932,31.666666666666668,Fort Greene,Brooklyn,Private room
79,150,3,-74.00197,40.74138,50.0,Chelsea,Manhattan,Private room
80,145,3,-73.96112,40.71154,48.333333333333336,Williamsburg,Brooklyn,Private room
81,110,31,-73.95136,40.82915,3.5483870967741935,Harlem,Manhattan,Entire home/apt
82,285,5,-73.98892,40.71851,57.0,Lower East Side,Manhattan,Entire home/apt
83,130,6,-73.96323,40.65401,21.666666666666668,Flatbush,Brooklyn,Entire home/apt
84,94,30,-73.98794,40.7114,3.1333333333333333,Lower East Side,Manhattan,Private room
85,800,1,-73.99268,40.69723,800.0,Brooklyn Heights,Brooklyn,Entire home/apt
86,105,3,-73.95748,40.71833,35.0,Williamsburg,Brooklyn,Entire home/apt
87,60,3,-73.9844,40.72334,20.0,East Village,Manhattan,Private room
89,85,3,-73.96218,40.71156,28.333333333333332,Williamsburg,Brooklyn,Private room
90,65,4,-73.9383,40.70032,16.25,Bushwick,Brooklyn,Private room
91,131,4,-73.97261,40.68233,32.75,Prospect Heights,Brooklyn,Entire home/apt
92,98,7,-73.966,40.68634,14.0,Clinton Hill,Brooklyn,Private room
93,250,7,-73.97162,40.68035,35.714285714285715,Prospect Heights,Brooklyn,Entire home/apt
95,105,3,-73.92609,40.70093,35.0,Bushwick,Brooklyn,Entire home/apt
96,140,3,-73.96177,40.79764,46.666666666666664,Upper West Side,Manhattan,Entire home/apt
97,89,1,-73.94731,40.82803,89.0,Harlem,Manhattan,Private room
98,98,30,-74.00271,40.74008,3.2666666666666666,Chelsea,Manhattan,Private room
99,125,7,-73.92357,40.68413,17.857142857142858,Bedford-Stuyvesant,Brooklyn,Entire home/apt
100,60,3,-73.95139,40.82279,20.0,Harlem,Manhattan,Private room
101,175,2,-74.00154,40.67967,87.5,Carroll Gardens,Brooklyn,Entire home/apt
102,65,2,-73.94281,40.83927,32.5,Washington Heights,Manhattan,Private room
103,500,4,-74.00319,40.73096,125.0,West Village,Manhattan,Entire home/apt
104,101,3,-73.94177,40.71332,33.666666666666664,Williamsburg,Brooklyn,Private room
105,220,30,-73.98109,40.66941,7.333333333333333,Park Slope,Brooklyn,Entire home/apt
107,80,30,-73.94844,40.71459,2.6666666666666665,Williamsburg,Brooklyn,Entire home/apt
108,100,2,-73.94421,40.8092,50.0,Harlem,Manhattan,Private room
109,200,30,-73.98989,40.68157,6.666666666666667,Gowanus,Brooklyn,Entire home/apt
110,59,2,-73.99291,40.75527,29.5,Hell's Kitchen,Manhattan,Private room
111,125,2,-73.96572,40.68698,62.5,Clinton Hill,Brooklyn,Private room
